Month,Austin TX,Uberx,UberPool
2004-01,40,0,0
2004-02,40,0,0
2004-03,23,0,0
2004-04,23,0,0
2004-05,12,0,0
2004-06,14,0,0
2004-07,22,0,0
2004-08,21,0,0
2004-09,21,0,0
2004-10,39,0,0
2004-11,35,0,0
2004-12,38,0,0
2005-01,48,0,0
2005-02,63,0,0
2005-03,34,0,0
2005-04,35,0,0
2005-05,29,0,0
2005-06,20,0,0
2005-07,12,0,0
2005-08,20,0,0
2005-09,49,0,0
2005-10,73,0,0
2005-11,54,0,0
2005-12,50,0,0
2006-01,54,0,0
2006-02,45,0,0
2006-03,40,0,0
2006-04,32,0,0
2006-05,27,0,0
2006-06,20,0,0
2006-07,13,0,0
2006-08,25,0,0
2006-09,21,0,0
2006-10,23,0,0
2006-11,31,0,0
2006-12,29,0,0
2007-01,36,0,0
2007-02,49,0,0
2007-03,32,0,0
2007-04,21,0,0
2007-05,19,0,0
2007-06,19,0,0
2007-07,14,0,0
2007-08,13,0,0
2007-09,20,0,0
2007-10,26,0,0
2007-11,27,0,0
2007-12,19,0,0
2008-01,36,0,0
2008-02,52,0,0
2008-03,21,0,0
2008-04,20,0,0
2008-05,17,0,0
2008-06,10,0,0
2008-07,11,0,0
2008-08,11,0,0
2008-09,12,0,0
2008-10,18,0,0
2008-11,18,0,0
2008-12,22,0,0
2009-01,25,0,0
2009-02,28,0,0
2009-03,19,0,0
2009-04,55,0,0
2009-05,35,0,0
2009-06,15,0,0
2009-07,11,0,0
2009-08,19,0,0
2009-09,51,0,0
2009-10,62,0,0
2009-11,37,0,0
2009-12,26,0,0
2010-01,19,0,0
2010-02,25,0,0
2010-03,15,0,0
2010-04,14,0,0
2010-05,11,0,0
2010-06,8,0,0
2010-07,8,0,0
2010-08,8,0,0
2010-09,11,0,0
2010-10,14,0,0
2010-11,13,0,0
2010-12,17,0,0
2011-01,38,0,0
2011-02,45,0,0
2011-03,26,0,0
2011-04,24,0,0
2011-05,20,0,0
2011-06,19,0,0
2011-07,15,0,0
2011-08,15,0,0
2011-09,28,0,0
2011-10,30,0,0
2011-11,31,0,0
2011-12,40,0,0
2012-01,39,0,0
2012-02,46,0,0
2012-03,35,0,0
2012-04,28,0,0
2012-05,20,0,0
2012-06,16,0,0
2012-07,11,0,0
2012-08,14,0,0
2012-09,17,0,0
2012-10,24,0,0
2012-11,37,0,0
2012-12,30,0,0
2013-01,58,0,0
2013-02,25,0,0
2013-03,29,0,0
2013-04,25,0,0
2013-05,18,0,0
2013-06,13,0,0
2013-07,17,0,0
2013-08,17,0,0
2013-09,29,0,0
2013-10,31,0,0
2013-11,33,0,0
2013-12,76,0,0
2014-01,74,0,0
2014-02,34,0,0
2014-03,38,0,0
2014-04,36,0,0
2014-05,26,1,0
2014-06,18,1,0
2014-07,18,1,0
2014-08,17,1,0
2014-09,22,1,0
2014-10,28,1,0
2014-11,24,1,0
2014-12,39,1,0
2015-01,49,1,0
2015-02,40,1,0
2015-03,28,1,1
2015-04,22,1,1
2015-05,19,1,1
2015-06,16,1,1
2015-07,8,1,1
2015-08,8,1,1
2015-09,14,1,1
2015-10,15,1,1
2015-11,17,1,1
2015-12,20,1,1
2016-01,29,1,1
2016-02,34,1,1
2016-03,33,1,1
2016-04,32,1,1
2016-05,25,0,0
2016-06,23,0,0
2016-07,15,0,0
2016-08,25,0,0
2016-09,32,0,0
2016-10,31,0,0
2016-11,31,0,0
2016-12,35,0,0
2017-01,39,0,0
2017-02,49,0,0
2017-03,38,0,0
2017-04,31,0,0
2017-05,23,0,0
2017-06,22,1,1
2017-07,19,1,1
2017-08,18,1,1
2017-09,32,1,1
2017-10,29,1,1
2017-11,38,1,1
2017-12,53,1,1
2018-01,100,1,1