Month,Influenza: (Boston MA-Manchester NH),Influenza: (Buffalo NY),Influenza: (Chicago IL),Influenza: (Houston TX),Influenza: (Los Angeles CA),Influenza: (Miami-Ft. Lauderdale FL),Influenza: (New York NY),Influenza: (Philadelphia PA),Influenza: (Phoenix AZ),Influenza: (San Francisco-Oakland-San Jose CA),Influenza: (Seattle-Tacoma WA)
2004-01,13,7,8,5,5,10,10,6,8,8,8
2004-02,9,11,7,6,6,9,8,10,8,9,8
2004-03,5,8,3,1,3,4,4,4,2,2,3
2004-04,4,2,4,1,5,3,3,3,4,3,5
2004-05,2,0,3,2,1,4,2,1,2,1,1
2004-06,3,2,1,1,2,1,2,1,2,2,2
2004-07,3,4,1,3,2,2,2,1,2,2,2
2004-08,2,0,2,2,3,3,2,2,1,3,2
2004-09,5,5,4,3,5,3,4,5,4,5,4
2004-10,30,21,24,21,25,21,30,28,27,34,25
2004-11,12,7,10,6,9,10,10,10,8,12,12
2004-12,13,3,8,5,7,7,10,6,6,9,10
2005-01,15,20,9,7,8,8,10,8,4,9,10
2005-02,12,9,13,15,9,9,10,14,7,13,11
2005-03,7,2,6,5,5,5,6,8,2,6,6
2005-04,6,3,3,4,5,4,4,4,6,6,7
2005-05,4,2,4,3,3,3,3,3,3,5,4
2005-06,5,0,1,1,4,3,2,2,4,4,4
2005-07,3,3,2,3,3,3,3,3,3,3,3
2005-08,3,6,2,1,3,4,2,2,3,4,4
2005-09,8,10,7,5,7,8,9,10,8,9,8
2005-10,35,25,29,28,30,34,30,31,36,36,36
2005-11,32,24,20,21,23,20,28,29,24,25,29
2005-12,17,14,11,10,14,10,10,10,19,15,13
2006-01,13,8,9,8,8,10,10,10,13,13,13
2006-02,16,4,8,7,9,11,12,12,9,13,14
2006-03,19,12,12,11,10,19,13,13,7,14,14
2006-04,9,10,8,6,7,9,8,9,7,9,10
2006-05,19,8,11,9,9,11,13,14,7,12,16
2006-06,8,3,4,4,4,7,6,5,4,7,7
2006-07,4,3,3,3,4,5,4,4,3,4,3
2006-08,4,5,2,2,3,6,5,3,2,3,2
2006-09,6,4,5,4,4,6,6,7,8,5,4
2006-10,13,12,12,14,13,8,14,13,16,17,14
2006-11,16,11,10,10,11,9,14,13,15,16,14
2006-12,10,11,7,7,8,6,11,7,10,10,7
2007-01,10,7,6,5,8,6,13,7,9,11,10
2007-02,10,9,8,6,8,6,9,7,6,10,17
2007-03,7,9,5,6,4,7,7,5,5,6,7
2007-04,5,6,3,3,3,4,5,4,4,4,4
2007-05,3,6,3,2,3,4,4,2,3,3,4
2007-06,2,3,2,2,2,3,4,2,2,3,2
2007-07,2,0,2,2,2,2,2,1,2,2,2
2007-08,2,4,2,2,2,4,2,2,2,3,2
2007-09,6,4,3,3,4,4,4,4,4,5,4
2007-10,14,11,10,10,11,9,10,12,14,13,12
2007-11,16,12,9,7,9,6,10,10,11,11,9
2007-12,8,7,6,4,7,5,7,6,5,7,5
2008-01,8,4,7,8,7,7,8,6,6,8,7
2008-02,17,14,12,10,11,8,12,14,11,11,12
2008-03,12,13,8,4,6,8,8,7,6,7,8
2008-04,6,3,4,2,4,5,4,4,4,4,5
2008-05,3,1,3,3,3,3,3,2,3,4,3
2008-06,3,2,2,1,3,1,2,2,3,4,3
2008-07,2,1,1,2,3,2,2,1,2,2,2
2008-08,3,1,2,2,2,2,2,3,2,3,2
2008-09,5,6,4,3,5,4,4,5,5,5,5
2008-10,16,11,11,9,10,9,12,12,13,10,11
2008-11,17,13,10,8,10,7,11,11,11,11,12
2008-12,10,5,7,5,6,6,8,7,8,6,6
2009-01,7,5,7,5,6,6,7,8,3,5,5
2009-02,16,6,7,9,6,6,10,10,6,6,7
2009-03,9,4,6,4,5,5,7,6,7,5,8
2009-04,96,68,100,100,100,100,100,85,100,100,100
2009-05,94,67,65,64,62,81,88,67,64,75,87
2009-06,33,32,17,11,15,25,36,25,15,44,16
2009-07,17,21,10,10,15,28,16,16,12,43,12
2009-08,22,21,16,17,18,24,18,20,20,46,19
2009-09,60,49,37,48,36,45,43,45,43,35,51
2009-10,100,100,78,59,78,60,73,100,89,52,99
2009-11,85,60,44,28,55,35,61,57,42,34,52
2009-12,24,15,14,13,20,12,19,18,15,18,18
2010-01,15,9,8,6,10,6,12,10,8,9,7
2010-02,8,8,7,6,7,6,7,7,6,7,6
2010-03,6,4,5,5,5,4,4,6,5,8,6
2010-04,4,3,3,3,5,4,4,4,4,8,5
2010-05,4,4,3,2,4,3,3,3,3,6,4
2010-06,3,3,2,2,3,3,2,3,3,4,2
2010-07,3,1,2,2,2,4,2,2,2,4,3
2010-08,5,5,3,2,3,4,3,3,3,4,3
2010-09,11,6,6,8,8,6,7,10,7,6,8
2010-10,15,10,10,11,10,8,11,13,11,7,12
2010-11,12,8,9,8,9,7,9,9,9,6,8
2010-12,10,8,7,6,6,7,9,7,8,6,7
2011-01,10,9,8,8,9,11,10,10,8,9,8
2011-02,11,9,8,10,10,8,10,10,12,10,8
2011-03,8,7,6,6,6,6,7,6,5,8,9
2011-04,6,4,4,3,4,4,4,4,5,5,5
2011-05,4,2,3,2,4,3,3,3,3,4,4
2011-06,2,3,2,1,3,3,3,2,3,4,3
2011-07,3,3,2,2,3,3,2,2,3,3,3
2011-08,3,4,3,2,3,3,3,2,3,4,3
2011-09,9,8,7,6,6,5,7,8,8,8,6
2011-10,13,7,9,8,10,7,10,12,8,12,11
2011-11,10,7,7,6,8,6,8,7,6,10,8
2011-12,8,7,7,4,7,6,7,6,6,8,7
2012-01,9,8,7,4,8,5,6,7,5,9,6
2012-02,10,6,8,5,8,6,7,7,7,10,7
2012-03,6,6,7,5,7,5,6,5,7,8,8
2012-04,5,4,5,4,4,5,4,4,5,5,6
2012-05,4,4,3,3,4,5,4,3,4,4,5
2012-06,3,4,3,2,3,4,3,2,4,4,4
2012-07,3,3,2,2,3,3,3,2,2,3,3
2012-08,4,4,4,3,4,4,3,4,4,4,3
2012-09,9,7,7,5,7,6,7,8,7,8,7
2012-10,13,11,10,8,10,8,9,11,8,13,11
2012-11,9,7,8,8,11,8,7,8,9,11,9
2012-12,17,15,17,12,9,11,13,14,11,12,13
2013-01,64,38,34,25,37,29,47,50,38,42,38
2013-02,12,12,11,7,13,11,12,13,13,17,13
2013-03,8,9,7,6,9,6,8,8,6,9,7
2013-04,8,8,6,5,7,7,7,6,6,8,7
2013-05,4,3,3,3,4,4,4,3,4,6,4
2013-06,3,2,3,2,3,4,3,2,3,4,3
2013-07,2,2,3,2,3,3,2,2,3,4,3
2013-08,3,3,3,2,4,4,3,3,3,4,3
2013-09,10,9,6,6,7,8,8,9,7,9,7
2013-10,16,13,11,8,11,11,12,14,11,16,12
2013-11,10,8,9,9,10,8,9,10,8,12,9
2013-12,12,11,12,21,11,10,10,9,8,12,12
2014-01,18,16,16,16,24,16,15,16,21,46,26
2014-02,11,10,8,7,11,9,9,9,11,15,10
2014-03,9,9,7,5,6,6,8,7,6,7,7
2014-04,9,5,6,3,5,5,8,6,7,5,5
2014-05,5,5,4,3,5,4,5,4,5,5,4
2014-06,4,1,2,3,4,4,3,3,3,4,4
2014-07,3,2,3,3,3,4,2,2,3,4,3
2014-08,4,3,3,3,4,5,3,3,4,4,3
2014-09,11,8,8,7,8,8,9,9,8,10,9
2014-10,21,15,13,11,14,12,16,18,14,18,17
2014-11,12,9,11,9,9,10,10,10,8,11,10
2014-12,13,20,21,13,10,12,16,18,10,16,13
2015-01,24,20,12,12,18,12,20,22,17,19,21
2015-02,14,11,8,9,10,8,12,12,12,13,11
2015-03,10,9,9,6,8,7,8,7,7,10,8
2015-04,9,10,11,5,7,5,6,7,8,9,7
2015-05,6,5,5,3,6,4,4,4,6,6,6
2015-06,4,3,3,3,4,5,3,4,4,5,4
2015-07,3,2,3,3,3,4,3,3,3,3,3
2015-08,3,3,3,2,4,4,3,3,3,4,4
2015-09,10,9,7,6,8,6,7,7,7,10,9
2015-10,19,13,12,9,11,9,13,15,11,17,14
2015-11,12,8,9,7,10,8,9,10,8,14,9
2015-12,9,9,9,6,12,8,8,9,10,9,10
2016-01,9,11,8,5,11,9,8,8,9,9,11
2016-02,10,11,11,7,13,13,11,9,18,11,12
2016-03,14,13,11,8,10,11,13,13,16,10,11
2016-04,9,9,6,7,6,8,8,8,10,7,8
2016-05,5,5,4,4,5,6,6,5,6,6,4
2016-06,3,3,3,3,4,5,4,4,4,4,4
2016-07,2,2,3,2,3,4,3,3,3,4,3
2016-08,4,3,4,3,4,4,3,3,4,5,3
2016-09,10,8,7,7,9,7,8,8,8,11,9
2016-10,16,12,10,8,11,9,12,13,10,16,14
2016-11,10,11,8,6,10,8,9,9,8,11,10
2016-12,10,10,9,7,11,10,12,10,9,12,11
2017-01,15,16,13,9,12,12,18,14,10,17,30
2017-02,17,18,16,13,11,11,15,17,10,11,14
2017-03,12,10,11,8,8,8,9,9,7,8,8
2017-04,11,7,6,6,7,7,8,6,9,7,6
2017-05,5,4,4,4,6,6,5,3,8,6,4
2017-06,4,4,3,4,5,6,4,3,4,5,4
2017-07,3,3,3,3,4,4,4,3,4,4,3
2017-08,4,3,4,3,5,6,4,4,5,5,4
2017-09,10,8,8,7,9,6,9,10,8,12,10
2017-10,16,13,11,10,11,11,12,15,12,19,16
2017-11,13,10,10,11,10,10,11,11,11,14,11
2017-12,17,15,18,25,21,13,15,12,25,19,15
2018-01,59,54,49,50,48,45,53,47,44,58,42
